ticker,rows,date_min,date_max,collected_at
RELIANCE,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.764756
TCS,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.765184
HDFCBANK,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.765545
INFY,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.765884
HINDUNILVR,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.766228
ICICIBANK,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.766589
BHARTIARTL,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.766942
SBIN,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.767294
BAJFINANCE,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.767669
LICI,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.767952
ITC,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.768196
SUNPHARMA,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.768431
LT,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.768653
HCLTECH,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.768872
AXISBANK,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.769087
MARUTI,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.769320
TATAMOTORS,126,2025-06-10 00:00:00+05:30,2025-12-09 00:00:00+05:30,2025-12-10T18:21:07.769759
ONGC,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.769974
NTPC,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.770220
TITAN,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.770427
ULTRACEMCO,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.770640
NESTLEIND,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.770864
WIPRO,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.771101
POWERGRID,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.771408
TATASTEEL,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.771956
JSWSTEEL,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.772541
ADANIENT,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.772824
ADANIPORTS,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.773080
TECHM,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.773682
DRREDDY,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.774183
CIPLA,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.774622
DIVISLAB,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.774965
BAJAJFINSV,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.775336
INDUSINDBK,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.775643
COALINDIA,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.775884
GRASIM,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.776163
M&M,126,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.776481
HDFCLIFE,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.776728
BRITANNIA,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.777039
SBILIFE,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.777393
HINDALCO,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.777766
APOLLOHOSP,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.778221
DABUR,127,2025-06-10 00:00:00+05:30,2025-12-10 00:00:00+05:30,2025-12-10T18:21:07.778781
